표 1,,
품목,구분,배출방법
면도기(일회용) ,종량제봉투,쓰레기종량제 봉투로 배출 
면도칼 ,종량제봉투(주의),수거원이 다치지 않도록 종이 등으로 감싸서 배출 
면봉 ,종량제봉투,쓰레기종량제 봉투로 배출 
명함 ,"종이,종량제봉투","종이류로 배출하며, 플라스틱 합성지 등 다른 재질 포함시 종량제봉투에 배출 "
명합지갑 ,종량제봉투,쓰레기종량제 봉투로 배출 
"모니터(컴퓨터,TV)",가전제품,폐가전제품으로 배출 
모자(의류) ,"의류,종량제봉투",의류및원단류배출방법을 참고하여 배출하거나 종량제 봉투로 배출 
목발 ,"대형,고철,재질별분리",대형폐기물 또는 고철 등 재질에 맞게 배출 
목재 ,"종량제봉투,대형",종량제봉투에담을수없는 경우 대형폐기물로 처리 
못,고철,고철로배출 
문갑,대형,대형폐기물로 배출 
문짝,대형,대형폐기물로 배출
물티슈,종량제봉투,쓰레기종량제 봉투로 배출
밀짚모자,종량제봉투,쓰레기종량제 봉투로 배출
바나나껍질,음식물,음식물류 폐기물로 배출
바둑판,"종량제봉투,대형",종량제봉투에담을수없는 경우 대형폐기물로 처리
바베큐그릴,대형,대형폐기물로 배출
밥상,대형,대형폐기물로 배출
방석,종량제봉투,쓰레기종량제 봉투로 배출
빨대,플라스틱,플라스틱으로 배출
배드민턴공,종량제봉투,쓰레기종량제 봉투로 배출
백과사전,종이,종이류로 배출
백열전구,"불연성,종량제",불연성폐기물로 배출
벼루,종량제봉투,쓰레기종량제 봉투로 배출
벽돌,"불연성,종량제",불연성폐기물로 배출
벽시계,대형,대형폐기물로 배출
보온병,종량제봉투,쓰레기종량제 봉투로 배출
복사기,가전제품,폐가전제품으로 배출
볼펜,종량제봉투,쓰레기종량제 봉투로 배출
볼풀공,플라스틱,플라스틱으로 배출
분무기(플라스틱),플라스틱,플라스틱으로 배출
분유 깡통,고철,고철로 배출
붓,종량제봉투,쓰레기종량제봉투로배출 
블라인드,대형,대형폐기물로 배출 
비닐봉지(일회용),비닐,비닐로배출 
비닐장판,"종량제봉투,대형",종량제봉투에담을수없는 경우 대형폐기물로 처리 
비닐코팅종이,종량제봉투,쓰레기종량제 봉투로 배출 
(전기)비데,가전제품,폐가전제품으로 배출 
비디오 카메라,가전제품,폐가전제품으로 배출 
비디오 테이프,플라스틱,내부 필름은 분리하여 쓰레기 종량제 봉투로 배출 
"빗,헤어브러쉬","종량제봉투,재질별분리","재질에 맞게 배출하되 나무 빗 등은 쓰레기종량제 봉투로 배출 
"
사다리,"대형,고철",대형폐기물 또는 고철로 배출
사인펜,종량제봉투,쓰레기종량제 봉투로 배출
사전,종이,종이류로 배출
사진,종량제봉투,쓰레기종량제 봉투로 배출
사진인화지,종량제봉투,쓰레기종량제 봉투로 배출
삽,"대형,재질별분리",대형폐기물 또는 재질에 맞게 배출
상한음식,음식물,음식물류폐기물로 배출
쌀통,대형,대형폐기물로 배출
쌀포대,"종이,재질별분리",종이류 또는 재질에 맞게 배출
생선(먹고 남은),"음식물,종량제봉투","생선뼈는 쓰레기종량제 봉투에 버리고, 나머지는 음식물로 배출한다. "
샤프 펜슬,종량제봉투,쓰레기종량제 봉투로 배출 
서랍장,대형,대형폐기물로 배출
서류봉투(갈색 종이),종이,종이류로 배출
선풍기,가전제품,폐가전제품으로 배출
성냥,종량제봉투,물에적신후배출 
세면대,대형,대형폐기물로 배출 
세탁기,가전제품,폐가전제품으로 배출 
솜,종량제봉투,쓰레기종량제 봉투로 배출 
솜이불,대형,대형폐기물로 배출 
송곳,종량제봉투,쓰레기종량제 봉투로 배출 
수세미,종량제봉투,쓰레기종량제 봉투로 배출 
수조,대형,대형폐기물로 배출 
수족관,대형,대형폐기물로 배출 
수첩,"종이,재질별분리",종이류 또는 재질에 맞게 배출 
숯,종량제봉투,종량제 봉투로 배출 
스노우보드,대형,대형폐기물로 배출 
스캐너,가전제품,폐가전제품으로 배출 
스케이드보드,대형,대형폐기물로 배출 
스키용구류,대형,대형폐기물로 배출 
스탠드,가전제품,폐가전제품으로 배출 
스폰지,종량제봉투,쓰레기종량제 봉투로 배출 
스프레이,금속캔(주의),금속캔(부탄가스통)  배출방법 참고
부탄가스,금속캔(주의),금속캔(부탄가스통)  배출방법 참고
스피커,가전제품,폐가전제품으로 배출 
플라스틱 쓰레받기,플라스틱,대상 : 가정용 플라스틱 쓰레받기 
시계,"종량제봉투,대형","종량제종투에담을수없는 경우 대형폐기물로 처리, 건전지는 분리하여 전용 수거함으로 배출 "
식기세척기,가전제품,폐가전제품으로 배출 
식기건조기,가전제품,폐가전제품으로 배출 
"식물, 나무","종량제봉투,대형",종량제봉투에담을수없는 경우 대형폐기물로 처리 
식용유용기(플라스틱),플라스틱,모두사용후배출 
신문지,종이,종이류로 배출 
신발,종량제봉투,쓰레기종량제 봉투로 배출 
신발장,대형,대형폐기물로 배출 
싱크대,대형,대형폐기물로 배출 
고철 쓰레받기,고철,대상:고철쓰레받기 
샴푸용기,플라스틱,내부를 헹구고 배출
가격표,종이,종이류로 배출
가구류,대형,대형폐기물로 배출
가발,종량제봉투,종량제 봉투로 배출
가습기,가전제품,폐가전제품으로 배출
가위,"종량제봉투, 재질별분리","재질에 맞게 배출하되, 여러재질이 섞인 경우, 종량제 봉투로 배출"
개수대(씽크대),대형,대형폐기물로 배출
깨진 유리,불연성종량제,불연성폐기물 배출 방법을 참조하여 배출
거울,"불연성종량제, 대형",크기에 따라 해당 폐기물로 배출
걸레,종량제봉투,종량제 봉투로 배출
계란껍질,종량제봉투,종량제 봉투로 배출
고무장갑,종량제봉투,종량제 봉투로 배출
골판지,종이,종이류로 배출
골프공,종량제봉투,종량제 봉투로 배출
골프 클럽 백,대형,대형폐기물로 배출
공구류(철),고철,"다른 재질이 많이 섞인 제품은 분리해서 배출하며 분리가 어렵다면 쓰레기, 종량제 봉투로 배출"
공기청정기,가전제품,폐가전제품으로 배출
광고전단지,종이,"단, 비닐코딩된 종이는 쓰레기 종량제 봉투로 배출"
구두,"의류, 종량제봉투",의류및원단류배출방법을 참고하여 배출하거나 종량제 봉투로 배출
샌들,"의류, 종량제봉투",의류및원단류배출방법을 참고하여 배출하거나 종량제 봉투로 배출
슬리퍼,"의류, 종량제봉투",의류및원단류배출방법을 참고하여 배출하거나 종량제 봉투로 배출
금속 국자,고철,고철로 배출
비금속 국자,고철,고철로 배출
플라스틱 국자,플라스틱,플라스틱으로 배출
나무 국자,종량제봉투,종량제 봉투로 배출
도자기,불연성종량제,불연성폐기물로 배출
유리그릇,불연성종량제,불연성폐기물로 배출
금속 그릇,고철,고철로 배출
비금속 그릇,고철,고철로 배출
플라스틱 그릇,플라스틱,플라스틱으로 배출
기름(기계),전문시설,전문처리시설로 배출
기름(식용),전용함,전용수거함으로 배출
기타(악기),대형,대형폐기물로 배출
나무젓가락,종량제봉투,종량제봉투로 배출
나무조각,"종량제봉투, 대형",종량제봉투에담을수없는 경우 대형폐기물로 처리
나뭇가지,"종량제봉투, 대형",종량제봉투에담을수없는 경우 대형폐기물로 처리
나무줄기,"종량제봉투, 대형",종량제봉투에담을수없는 경우 대형폐기물로 처리
나사(못),고철,고철로 배출
나침반,종량제봉투,종량제 봉투로 배출
낙엽,종량제봉투,쓰레기종량제 봉투로 배출
낚싯대,대형,대형폐기물로 배출
난로(전기난로),"대형, 가전제품",대형폐기물 또는 가전제품으로 배출
낫,"고철, 종량제봉투","고철로 배출하되, 가능하다면 손잡이 부분(나무재질 등)을 분리하여 배출"
내열식기류,불연성종량제,불연성폐기물로 배출
냄비뚜껑(강화유리),종량제봉투,쓰레기종량제 봉투로 배출
냉장고(냉동고),가전제품,폐가전제품으로 배출
노트북,가전제품,폐가전제품으로 배출
농약용기,주의,내용물을 다 사용한 후 따로 봉투에 담아 배출
다리미,가전제품,폐가전제품으로 배출
도끼,"고철, 종량제봉투","고철로 배출하되, 가능하다면 손잡이 부분(나무재질 등)을 분리하여 배출"
나무도마,종량제봉투,종량제 봉투로 배출
플라스틱 도마,플라스틱,플라스틱으로 배출
도자기류,불연성종량제,불연성폐기물로 배출
돋보기,종량제봉투,종량제봉투로 배출
뚝배기,불연성종량제,불연성폐기물로 배출
디지털카메라,가전제품,폐가전제품으로 배출
라디오,가전제품,폐가전제품으로 배출 
라이터(일회용),"종량제봉투, 주의",모두사용한후 종량제 봉투로 배출 
배드민턴 라켓,"종량제봉투, 대형",종량제봉투에담을수 없다면 대형으로처리 
테니스 라켓,"종량제봉투, 대형",종량제봉투에담을수 없다면 대형으로처리 
랩(사용 후),종량제봉투,사용한 랩은 쓰레기 종량제 봉투로 배출 
랩의 심,종이,종이류로 배출 
런닝머신,가전제품,폐가전제품으로 배출 
리코더,플라스틱,플라스틱으로 배출 
마스크,종량제봉투,쓰레기종량제 봉투로 배출 
마요네즈용기,"플라스틱, 재질별분리",내부를 헹구고 플라스틱 또는 재질에 맞는 분리수거함으로 배출 
마우스패드,종량제봉투,쓰레기종량제 봉투로 배출 
마커펜,종량제봉투,쓰레기종량제 봉투로 배출 
만년필,종량제봉투,쓰레기종량제 봉투로 배출 
매트,대형,대형폐기물로 배출
매트리스,대형,대형폐기물로 배출
철 맥주병뚜껑,고철,고철로 배출
알루미늄 맥주병뚜껑,고철,고철로 배출
머그컵(도자기류),불연성종량제,불연성폐기물로 배출
머플러(목도리),의류,"의류및원단류배출방법을 참고하여 배출 
"
메가폰(플라스틱),플라스틱,플라스틱으로 배출
아기욕조,"대형, 재질별분리",대형폐기물 또는 재질에 맞게 배출 
아기침대,"대형, 재질별분리",대형폐기물 또는 재질에 맞게 배출 
아령,"고철, 재질별분리",고철류 또는 재질에 맞게 배출 
아이스팩,종량제봉투,쓰레기 종량제 봉투로 배출 
악기,"종량제봉투, 대형",종량제봉투에담을수없는 경우 대형페기물로 배출 ※악기는 폐가전 제품 무상방문 수거 대상품목이 아님
압력솥,고철,고철류로 배출 
애완동물 용변 시트,종량제봉투,쓰레기 종량제 봉투로 배출 
애완동물 음식캔,금속캔,금속캔으로 배출 
애완동물집,재질별 분리,재질에 맞게 배출 
애완동물운반케이스,재질별 분리,재질에 맞게 배출 
액자,"종량제 봉투, 대형",종량제봉투에담을수없는 경우 대형폐기물로 처리
앨범,"종량제 봉투, 대형",종량제봉투에담을수없는 경우 대형폐기물로 처리
야구공,종량제봉투,쓰레기 종량제 봉투로 배출
야구글러브,종량제봉투,쓰레기 종량제 봉투로 배출
야구배트,"재질별 분리, 종량제봉투",재질에맞게배출또는 쓰레기종량제 봉투로 배출
약 종류,전용함,"약국, 보건소 등의 전용수거함으로 배출 "
양초,종량제 봉투,쓰레기 종량제 봉투로 배출 
에어매트,"종량제 봉투, 대형",종량제봉투에담을수없는 경우 대형폐기물로 처리 
에어컨,가전제품,폐가전제품으로 배출 
엔진오일,전문시설,전문처리시설(카센터 등)로 배출 
여행가방(트렁크),대형,대형페기물로 배출 
역기,고철,고철로 배출 
연필,종량제봉투,쓰레기 종량제 봉투로 배출 
색연필,종량제봉투,쓰레기 종량제 봉투로 배출 
연필깎이,종량제봉투,쓰레기 종량제 봉투로 배출 
오디오세트,가전제품,폐가전제품으로 배출 
오렌지껍질,음식물,음식물류폐기물로 배출 
온풍기,가전제품,폐가전제품으로 배출 
옷걸이(세탁소 흰색 철사),고철,고철로 배출 
와이퍼,재질별 분리,재질별 분리하여 배출 
와인셀러,가전제품,대형가전으로 배출 
완충재(뽁뽁이),비닐,비닐류로 배출 
요가매트,종량제봉투,쓰레기종량제 봉투로 배출 
우산,종량제봉투,"뼈대와 비닐을 분리하여, 각각의 분리수거함으로 배출, 분리가 어렵다면 종량제봉투로 배출 "
우유팩,종이팩,종이팩으로 배출
유리병,"유리병, 주의",유리병류로 배출
철 유리병 뚜껑,고철,고철로배출 
알루미늄 유리병 뚜껑,고철,고철로배출 
유리판,"불연성종량제, 대형",불연성폐기물 또는 대형폐기물로 배출 
유리제품,"불연성종량제, 대형",불연성폐기물 또는 대형폐기물로 배출 
유모차,대형,대형폐기물로 배출 
윤활유,전문시설,구입처와상담후배출 
응접세트,대형,대형폐기물로 배출 
의류,의류,의류및원단류로배출 
의류건조대,"고철, 플라스틱, 재질별분리","고철류, 플라스틱류 등 재질에 맞게 배출 "
의자,대형,대형폐기물로 배출
이불,"종량제봉투, 대형",종량제종투에담을수없는 경우 대형폐기물로 배출
인형류,"종량제봉투, 대형",종량제종투에담을수없는 경우 대형폐기물로 배출
